Date,Price,Open,High,Low,Vol.,Change %
6/1/2014,195.72,192.95,196.6,191.97,1.68B,0.0158
5/1/2014,192.68,188.22,192.8,186.01,1.78B,0.0232
4/1/2014,188.31,187.62,189.7,181.31,2.35B,0.007
3/1/2014,187.01,184.65,189.02,183.75,2.55B,0.0039
2/1/2014,186.29,177.97,187.15,173.71,2.39B,0.0455
1/1/2014,178.18,183.98,184.94,176.88,2.53B,-0.0352
12/1/2013,184.69,181.09,184.69,177.32,2.23B,0.0204
11/1/2013,181,176.02,181.75,174.76,1.93B,0.0296
10/1/2013,175.79,168.14,177.51,164.53,2.90B,0.0463
9/1/2013,168.01,165.23,173.6,163.7,2.25B,0.0266
8/1/2013,163.65,169.99,170.97,163.05,2.28B,-0.03
7/1/2013,168.71,161.26,169.86,160.22,2.33B,0.0517
6/1/2013,160.42,163.83,165.99,155.73,3.53B,-0.0185
5/1/2013,163.45,159.33,169.07,158.1,2.78B,0.0236
4/1/2013,159.68,156.59,159.72,153.55,2.91B,0.0192
3/1/2013,156.67,151.09,156.85,150.41,2.33B,0.0334
2/1/2013,151.61,150.65,153.28,148.73,2.58B,0.0128
1/1/2013,149.7,145.11,150.94,144.73,2.59B,0.0512
12/1/2012,142.41,142.8,145.58,139.54,2.89B,0.0018
11/1/2012,142.15,141.65,143.72,134.7,3.03B,0.0057
10/1/2012,141.35,144.52,147.16,140.39,2.72B,-0.0182
9/1/2012,143.97,141.04,148.11,140.13,2.39B,0.0199
8/1/2012,141.16,138.7,143.09,135.58,2.41B,0.0251
7/1/2012,137.71,136.48,139.34,132.6,2.86B,0.0118
6/1/2012,136.1,129.41,136.27,127.14,3.64B,0.0353
5/1/2012,131.47,139.79,141.66,129.55,4.00B,-0.0601
4/1/2012,139.87,140.64,142.21,135.76,3.03B,-0.0067
3/1/2012,140.81,137.31,141.83,134.36,3.06B,0.0277
2/1/2012,137.02,132.29,138.19,132.13,2.90B,0.0434
1/1/2012,131.32,127.76,133.4,126.43,2.88B,0.0464
12/1/2011,125.5,124.85,127.26,120.03,3.85B,0.0041
11/1/2011,124.99,122.03,128.02,116.2,5.01B,-0.0041
10/1/2011,125.5,112.49,129.42,107.43,5.67B,0.1091
9/1/2011,113.15,122.29,123.4,111.3,6.19B,-0.0742
8/1/2011,122.22,130.84,130.96,110.27,9.05B,-0.055
7/1/2011,129.33,132.09,135.7,127.97,3.84B,-0.02
6/1/2011,131.97,134.51,134.92,126.19,4.71B,-0.0217
5/1/2011,134.9,137.07,137.18,131.38,3.34B,-0.0112
4/1/2011,136.43,133.41,136.57,129.51,2.82B,0.029
3/1/2011,132.59,133.57,133.69,125.28,4.79B,-0.0042
2/1/2011,133.15,129.46,134.69,129.38,2.82B,0.0347
1/1/2011,128.68,126.71,130.35,125.7,2.86B,0.0233
12/1/2010,125.75,120.2,126.2,120.19,2.72B,0.0613
11/1/2010,118.49,119.07,122.95,117.59,3.98B,0
10/1/2010,118.49,114.99,119.76,113.18,3.77B,0.0382
9/1/2010,114.13,106.73,115.79,106.66,4.05B,0.0838
8/1/2010,105.31,111.99,113.18,104.29,4.54B,-0.045
7/1/2010,110.27,103.15,112.29,101.13,4.72B,0.0683
6/1/2010,103.22,108.35,113.2,102.88,5.71B,-0.0562
5/1/2010,109.37,119.38,120.68,104.38,7.41B,-0.0795
4/1/2010,118.81,117.8,122.12,117.1,4.01B,0.0155
3/1/2010,117,111.2,118.17,111.17,3.90B,0.0565
2/1/2010,110.74,108.15,111.58,104.58,4.45B,0.0312
1/1/2010,107.39,112.37,115.14,107.22,3.71B,-0.0363
12/1/2009,111.44,110.92,113.03,105.48,2.88B,0.0136
11/1/2009,109.94,104.13,111.74,103.08,3.43B,0.0616
10/1/2009,103.56,105.34,110.31,101.99,4.48B,-0.0192
9/1/2009,105.59,101.95,108.06,99.57,3.78B,0.0305
8/1/2009,102.46,99.85,104.35,98.11,3.96B,0.0369
7/1/2009,98.81,92.34,99.83,87,4.30B,0.0746
6/1/2009,91.95,93.67,96.11,87.53,5.05B,-0.0063
5/1/2009,92.53,87.44,93.7,86.72,5.20B,0.0585
4/1/2009,87.42,78.53,89.02,78.33,6.21B,0.0993
3/1/2009,79.52,72.52,83.3,67.1,8.81B,0.0756
2/1/2009,73.93,81.57,87.74,73.81,7.28B,-0.1074
1/1/2009,82.83,90.44,94.55,80.05,6.88B,-0.0821
12/1/2008,90.24,87.51,92.43,81.86,6.93B,0.0017
11/1/2008,90.09,96.78,100.86,74.34,8.77B,-0.0696
10/1/2008,96.83,115.27,116.69,83.58,11.89B,-0.1652
9/1/2008,115.99,130.03,130.71,110.53,8.11B,-0.0994
8/1/2008,128.79,127.12,131.51,124.76,4.34B,0.0155
7/1/2008,126.83,126.52,129.16,120.02,7.16B,-0.009
6/1/2008,127.98,139.83,140.89,127.03,5.41B,-0.0881
5/1/2008,140.35,138.39,144.3,137.52,3.65B,0.0151
4/1/2008,138.26,133.71,140.59,132.33,4.01B,0.0477
3/1/2008,131.97,133.14,135.81,126.07,5.47B,-0.0138
2/1/2008,133.82,137.94,139.61,131.73,4.15B,-0.0258
1/1/2008,137.37,146.53,146.99,126,6.11B,-0.0605
12/1/2007,146.21,148.19,152.89,143.96,3.29B,-0.0165
11/1/2007,148.66,153.29,153.41,140.66,5.47B,-0.0387
10/1/2007,154.65,152.6,157.52,148,3.85B,0.0136
9/1/2007,152.58,147.45,154.39,144.33,2.97B,0.0338
8/1/2007,147.59,145.18,150.59,137,6.24B,0.0128
7/1/2007,145.72,150.87,156,145.04,3.99B,-0.0313
6/1/2007,150.43,153.88,154.4,148.06,3.51B,-0.0188
5/1/2007,153.32,148.42,153.89,147.67,2.52B,0.0339
4/1/2007,148.29,142.16,149.8,140.89,1.80B,0.0443
3/1/2007,142,139.34,143.81,136.75,2.92B,0.0076
2/1/2007,140.93,144.15,146.42,139,1.50B,-0.0196
1/1/2007,143.75,142.25,144.13,140.25,1.35B,0.015
12/1/2006,141.62,140.53,143.24,138.97,1.21B,0.0078
11/1/2006,140.53,138.22,141.16,135.62,1.50B,0.0199
10/1/2006,137.79,133.54,139,132.34,1.45B,0.0315
9/1/2006,133.58,131.14,133.99,129.35,1.36B,0.0225
8/1/2006,130.64,127.34,131.04,126.28,1.42B,0.0218
7/1/2006,127.85,127.43,128.14,122.39,1.69B,0.0049
6/1/2006,127.23,127.38,129.43,122.34,2.17B,-0.0022
5/1/2006,127.51,131.47,132.8,124.76,1.75B,-0.0301
4/1/2006,131.47,130.07,131.86,128.02,1.30B,0.0126
3/1/2006,129.83,128.6,131.47,127.18,1.35B,0.0125
2/1/2006,128.23,127.82,130.04,125.4,1.15B,0.0057
1/1/2006,127.5,125.1,129.44,124.39,1.23B,0.024
12/1/2005,124.51,126.02,128.57,124.36,1.07B,-0.0072
11/1/2005,125.41,120.58,127.41,120.13,1.19B,0.044
10/1/2005,120.13,122.96,123.34,116.88,1.79B,-0.0237
9/1/2005,123.04,122.51,124.74,120.44,1.29B,0.0038
8/1/2005,122.58,123.83,124.74,120.38,1.32B,-0.0094
7/1/2005,123.74,119.45,124.64,118.26,1.19B,0.0383
6/1/2005,119.18,119.52,121.94,118.75,1.11B,-0.0025
5/1/2005,119.48,116.07,120.25,114.8,1.35B,0.0322
4/1/2005,115.75,118.63,119.26,113.55,1.67B,-0.0187
3/1/2005,117.96,120.78,123.25,116.25,1.34B,-0.0221
2/1/2005,120.63,118.25,121.67,118.1,1.03B,0.0209
1/1/2005,118.16,121.56,121.76,116.37,1.19B,-0.0224
12/1/2004,120.87,118.16,121.66,117.73,911.60M,0.0253
11/1/2004,117.89,113.56,119.14,113.2,964.65M,0.0414
10/1/2004,113.2,112.26,114.68,109.35,1.05B,0.0129
9/1/2004,111.76,110.94,113.74,110.41,792.69M,0.0059
8/1/2004,111.11,110.19,111.63,106.59,924.66M,0.0024
7/1/2004,110.84,114.25,114.4,108.21,956.40M,-0.0322
6/1/2004,114.53,112.46,114.94,111.87,726.88M,0.0148
5/1/2004,112.86,111.37,113.26,108.06,984.92M,0.0171
4/1/2004,110.96,113.07,115.41,110.9,969.26M,-0.0189
3/1/2004,113.1,115.43,116.97,108.85,1.13B,-0.0167
2/1/2004,115.02,113.7,116.6,112.78,676.31M,0.0136
1/1/2004,113.48,111.74,116.5,110.73,746.62M,0.0198
