date,last_price,open_price,max_price,min_price,avg_price
1/1/2018,19.6,18.6,19.7,18.3,19.1
12/1/2017,18.6,17.3,19.2,17.2,17.9
11/1/2017,17.3,17.6,17.7,17.3,17.5
10/1/2017,17.6,17.3,17.8,17.2,17.5
9/1/2017,17.3,17.3,17.7,17,17.3
8/1/2017,17.3,17.7,17.9,17,17.5
7/1/2017,17.6,16.8,17.8,16.7,17.2
6/1/2017,16.6,16.1,16.7,15.8,16.4
5/1/2017,16.1,15.4,16.2,15.2,15.7
4/1/2017,15.4,15.4,15.5,15.1,15.4
3/1/2017,15.4,15.5,15.8,15.3,15.4
2/1/2017,15.5,15.9,15.9,15.3,15.7
1/1/2017,15.9,15.9,16.1,15.7,15.9
12/1/2016,15.9,15.9,16.1,15.5,15.9
11/1/2016,15.9,15.2,16,14.9,15.5
10/1/2016,15.1,15.3,15.3,15,15.2
9/1/2016,15.3,14.9,15.4,14.8,15.1
8/1/2016,14.9,15,15.2,14.6,15
7/1/2016,15,15.1,15.3,14.6,15
6/1/2016,15,14,15.4,13.7,14.5
5/1/2016,14,14.3,14.4,13.9,14.1
4/1/2016,14.3,14.7,14.9,14,14.5
3/1/2016,14.7,15.8,16,14.1,15.3
2/1/2016,15.8,13.9,15.8,13.9,14.9
1/1/2016,13.9,12.9,14.1,12.9,13.4
12/1/2015,12.9,9.7,14,9.7,11.3
11/1/2015,9.7,9.5,9.7,9.4,9.6
10/1/2015,9.5,9.4,9.5,9.3,9.5
9/1/2015,9.4,9.3,9.4,9.3,9.4
8/1/2015,9.3,9.2,9.3,9.2,9.2
7/1/2015,9.2,9.1,9.2,9.1,9.1
6/1/2015,9.1,9,9.1,9,9.1
5/1/2015,9,8.9,9,8.9,9
4/1/2015,8.9,8.8,8.9,8.8,8.9
3/1/2015,8.8,8.7,8.8,8.7,8.8
2/1/2015,8.7,8.6,8.7,8.6,8.7
1/1/2015,8.6,8.6,8.7,8.5,8.6
12/1/2014,8.5,8.5,8.6,8.5,8.5
11/1/2014,8.5,8.5,8.5,8.5,8.5
10/1/2014,8.5,8.4,8.5,8.4,8.5
9/1/2014,8.4,8.4,8.5,8.4,8.4
8/1/2014,8.4,8.2,8.4,8.2,8.3
7/1/2014,8.2,8.1,8.3,8.1,8.2
6/1/2014,8.1,8.1,8.2,8.1,8.1
5/1/2014,8.1,8,8.1,8,8
4/1/2014,8,8,8,8,8
3/1/2014,8,7.9,8,7.9,7.9
2/1/2014,7.9,8,8.1,7.7,8
1/1/2014,8,6.5,8.2,6.5,7.3
12/1/2013,6.5,6.1,6.5,6.1,6.3
11/1/2013,6.1,5.9,6.1,5.9,6
10/1/2013,5.9,5.8,5.9,5.8,5.8
9/1/2013,5.8,5.7,5.8,5.7,5.7
8/1/2013,5.7,5.5,5.7,5.5,5.6
7/1/2013,5.5,5.4,5.5,5.4,5.4
6/1/2013,5.4,5.3,5.4,5.3,5.3
5/1/2013,5.3,5.2,5.3,5.2,5.2
4/1/2013,5.2,5.1,5.2,5.1,5.2
3/1/2013,5.1,5,5.1,5,5.1
2/1/2013,5,5,5,5,5
1/1/2013,5,4.9,5,4.9,4.9
12/1/2012,4.9,4.8,4.9,4.8,4.9
11/1/2012,4.8,4.8,4.8,4.8,4.8
10/1/2012,4.8,4.7,4.8,4.7,4.7
9/1/2012,4.7,4.6,4.7,4.6,4.7
8/1/2012,4.6,4.6,4.6,4.6,4.6
7/1/2012,4.6,4.5,4.6,4.5,4.6
6/1/2012,4.5,4.5,4.5,4.4,4.5
5/1/2012,4.5,4.4,4.5,4.4,4.4
4/1/2012,4.4,4.4,4.4,4.4,4.4
3/1/2012,4.4,4.4,4.4,4.3,4.4
2/1/2012,4.4,4.3,4.4,4.3,4.3
1/1/2012,4.3,4.3,4.3,4.3,4.3
